image_id,file_path,object_id,title,artist,date,medium,department,source_url,image_url,license,source
cma_94979,artworks_met/cma_0069_94979.jpg,94979,Nathaniel Hurd,"John Singleton Copley (American, 1738–1815)",c. 1765,oil on canvas,American Painting and Sculpture,https://clevelandart.org/art/1915.534,https://openaccess-cdn.clevelandart.org/1915.534/1915.534_web.jpg,CC0 1.0 / Public Domain,Cleveland Museum of Art
cma_102578,artworks_met/cma_0070_102578.jpg,102578,Portrait of Dora Wheeler,"William Merritt Chase (American, 1849–1916)",1882–83,oil on canvas,American Painting and Sculpture,https://clevelandart.org/art/1921.1239,https://openaccess-cdn.clevelandart.org/1921.1239/1921.1239_web.jpg,CC0 1.0 / Public Domain,Cleveland Museum of Art
cma_92937,artworks_met/cma_0071_92937.jpg,92937,Stag at Sharkey's,"George Bellows (American, 1882–1925)",1909,oil on canvas,American Painting and Sculpture,https://clevelandart.org/art/1922.1133,https://openaccess-cdn.clevelandart.org/1922.1133/1922.1133_web.jpg,CC0 1.0 / Public Domain,Cleveland Museum of Art
cma_151904,artworks_met/cma_0072_151904.jpg,151904,The Biglin Brothers Turning the Stake,"Thomas Eakins (American, 1844–1916)",1873,oil on canvas,American Painting and Sculpture,https://clevelandart.org/art/1927.1984,https://openaccess-cdn.clevelandart.org/1927.1984/1927.1984_web.jpg,CC0 1.0 / Public Domain,Cleveland Museum of Art
cma_110180,artworks_met/cma_0073_110180.jpg,110180,The Race Track (Death on a Pale Horse),"Albert Pinkham Ryder (American, 1847–1917)",c. 1896–1908,oil on canvas,American Painting and Sculpture,https://clevelandart.org/art/1928.8,https://openaccess-cdn.clevelandart.org/1928.8/1928.8_web.jpg,CC0 1.0 / Public Domain,Cleveland Museum of Art
cma_137259,artworks_met/cma_0074_137259.jpg,137259,Mme L . . . (Laure Borreau),"Gustave Courbet (French, 1819–1877)",1863,oil on fabric,Modern European Painting and Sculpture,https://clevelandart.org/art/1962.2,https://openaccess-cdn.clevelandart.org/1962.2/1962.2_web.jpg,CC0 1.0 / Public Domain,Cleveland Museum of Art
cma_141639,artworks_met/cma_0075_141639.jpg,141639,Twilight in the Wilderness,"Frederic Edwin Church (American, 1826–1900)",1860,oil on canvas,American Painting and Sculpture,https://clevelandart.org/art/1965.233,https://openaccess-cdn.clevelandart.org/1965.233/1965.233_web.jpg,CC0 1.0 / Public Domain,Cleveland Museum of Art
cma_149410,artworks_met/cma_0076_149410.jpg,149410,In the Waves (Dans les Vagues),"Paul Gauguin (French, 1848–1903)",1889,oil on fabric,Modern European Painting and Sculpture,https://clevelandart.org/art/1978.63,https://openaccess-cdn.clevelandart.org/1978.63/1978.63_web.jpg,CC0 1.0 / Public Domain,Cleveland Museum of Art
cma_149112,artworks_met/cma_0077_149112.jpg,149112,Church Street El,"Charles Sheeler (American, 1883–1965)",1920,oil on canvas,American Painting and Sculpture,https://clevelandart.org/art/1977.43,https://openaccess-cdn.clevelandart.org/1977.43/1977.43_web.jpg,CC0 1.0 / Public Domain,Cleveland Museum of Art
cma_125249,artworks_met/cma_0078_125249.jpg,125249,The Large Plane Trees (Road Menders at Saint-Rémy),"Vincent van Gogh (Dutch, 1853–1890)",1889,oil on fabric,Modern European Painting and Sculpture,https://clevelandart.org/art/1947.209,https://openaccess-cdn.clevelandart.org/1947.209/1947.209_web.jpg,CC0 1.0 / Public Domain,Cleveland Museum of Art
cma_135299,artworks_met/cma_0079_135299.jpg,135299,Adeline Ravoux,"Vincent van Gogh (Dutch, 1853–1890)",1890,oil on fabric,Modern European Painting and Sculpture,https://clevelandart.org/art/1958.31,https://openaccess-cdn.clevelandart.org/1958.31/1958.31_web.jpg,CC0 1.0 / Public Domain,Cleveland Museum of Art
cma_93014,artworks_met/cma_0080_93014.jpg,93014,"View of Schroon Mountain, Essex County, New York, After a Storm","Thomas Cole (American, born England,1801–1848)",1838,oil on canvas,American Painting and Sculpture,https://clevelandart.org/art/1917.1335,https://openaccess-cdn.clevelandart.org/1917.1335/1917.1335_web.jpg,CC0 1.0 / Public Domain,Cleveland Museum of Art
cma_135382,artworks_met/cma_0081_135382.jpg,135382,The Red Kerchief,"Claude Monet (French, 1840–1926)",c. 1868–73,oil on fabric,Modern European Painting and Sculpture,https://clevelandart.org/art/1958.39,https://openaccess-cdn.clevelandart.org/1958.39/1958.39_web.jpg,CC0 1.0 / Public Domain,Cleveland Museum of Art
cma_128391,artworks_met/cma_0082_128391.jpg,128391,Portrait of a Family Playing Music,"Pieter de Hooch (Dutch, 1629–1684)",1663,oil on canvas,European Painting and Sculpture,https://clevelandart.org/art/1951.355,https://openaccess-cdn.clevelandart.org/1951.355/1951.355_web.jpg,CC0 1.0 / Public Domain,Cleveland Museum of Art
cma_140161,artworks_met/cma_0083_140161.jpg,140161,A Woman's Work,"John Sloan (American, 1871–1951)",1912,oil on canvas,American Painting and Sculpture,https://clevelandart.org/art/1964.160,https://openaccess-cdn.clevelandart.org/1964.160/1964.160_web.jpg,CC0 1.0 / Public Domain,Cleveland Museum of Art
cma_125104,artworks_met/cma_0084_125104.jpg,125104,Frieze of Dancers,"Edgar Degas (French, 1834–1917)",c. 1895,oil on fabric,Modern European Painting and Sculpture,https://clevelandart.org/art/1946.83,https://openaccess-cdn.clevelandart.org/1946.83/1946.83_web.jpg,CC0 1.0 / Public Domain,Cleveland Museum of Art
cma_138464,artworks_met/cma_0085_138464.jpg,138464,Cupid and Psyche,"Jacques-Louis David (French, 1748–1825)",1817,oil on canvas,Modern European Painting and Sculpture,https://clevelandart.org/art/1962.37,https://openaccess-cdn.clevelandart.org/1962.37/1962.37_web.jpg,CC0 1.0 / Public Domain,Cleveland Museum of Art
cma_127571,artworks_met/cma_0086_127571.jpg,127571,"Portrait of a Man, Possibly Girolamo Rosati","Lorenzo Lotto (Italian, 1480–1556)",1533–34,oil on canvas,European Painting and Sculpture,https://clevelandart.org/art/1950.250,https://openaccess-cdn.clevelandart.org/1950.250/1950.250_web.jpg,CC0 1.0 / Public Domain,Cleveland Museum of Art
cma_109245,artworks_met/cma_0087_109245.jpg,109245,"Elizabeth Shewell West and Her Son, Raphael","Benjamin West (American, 1738–1820)",c. 1770,oil on canvas,American Painting and Sculpture,https://clevelandart.org/art/1927.393,https://openaccess-cdn.clevelandart.org/1927.393/1927.393_web.jpg,CC0 1.0 / Public Domain,Cleveland Museum of Art
cma_122349,artworks_met/cma_0088_122349.jpg,122349,Portrait of the Ladies Amabel and Mary Jemima Yorke,"Joshua Reynolds (British, 1723–1792)",c. 1761,oil on canvas,European Painting and Sculpture,https://clevelandart.org/art/1942.645,https://openaccess-cdn.clevelandart.org/1942.645/1942.645_web.jpg,CC0 1.0 / Public Domain,Cleveland Museum of Art
cma_160885,artworks_met/cma_0089_160885.jpg,160885,Portrait of Tieleman Roosterman,"Frans Hals (Dutch, c. 1581–1666)",1634,oil on canvas,European Painting and Sculpture,https://clevelandart.org/art/1999.173,https://openaccess-cdn.clevelandart.org/1999.173/1999.173_web.jpg,CC0 1.0 / Public Domain,Cleveland Museum of Art
cma_140408,artworks_met/cma_0090_140408.jpg,140408,Peregrine Falcons (Duck Hawks),"John James Audubon (American, born Haiti, 1785–1851)",c. 1827,oil on canvas,American Painting and Sculpture,https://clevelandart.org/art/1964.351,https://openaccess-cdn.clevelandart.org/1964.351/1964.351_web.jpg,CC0 1.0 / Public Domain,Cleveland Museum of Art
cma_117032,artworks_met/cma_0091_117032.jpg,117032,The Sacrifice of Isaac,"Andrea del Sarto (Italian, 1486–1530)",c. 1527,oil on wood,European Painting and Sculpture,https://clevelandart.org/art/1937.577,https://openaccess-cdn.clevelandart.org/1937.577/1937.577_web.jpg,CC0 1.0 / Public Domain,Cleveland Museum of Art
cma_135428,artworks_met/cma_0092_135428.jpg,135428,Hunting near Hartenfels Castle,"Lucas Cranach (German, 1472–1553)",1540,"oil, originally on wood, transferred to masonite",European Painting and Sculpture,https://clevelandart.org/art/1958.425,https://openaccess-cdn.clevelandart.org/1958.425/1958.425_web.jpg,CC0 1.0 / Public Domain,Cleveland Museum of Art
cma_131819,artworks_met/cma_0093_131819.jpg,131819,A Genoese Lady with Her Child,"Anthony van Dyck (Flemish, 1599–1641)",c. 1623–25,oil on canvas,European Painting and Sculpture,https://clevelandart.org/art/1954.392,https://openaccess-cdn.clevelandart.org/1954.392/1954.392_web.jpg,CC0 1.0 / Public Domain,Cleveland Museum of Art
cma_150389,artworks_met/cma_0094_150389.jpg,150389,The Holy Family on the Steps,"Nicolas Poussin (French, 1594–1665)",1648,oil on canvas,European Painting and Sculpture,https://clevelandart.org/art/1981.18,https://openaccess-cdn.clevelandart.org/1981.18/1981.18_web.jpg,CC0 1.0 / Public Domain,Cleveland Museum of Art
cma_148758,artworks_met/cma_0095_148758.jpg,148758,The Crucifixion of Saint Andrew,"Caravaggio (Italian, 1571–1610)",1606–7,oil on canvas,European Painting and Sculpture,https://clevelandart.org/art/1976.2,https://openaccess-cdn.clevelandart.org/1976.2/1976.2_web.jpg,CC0 1.0 / Public Domain,Cleveland Museum of Art
cma_138359,artworks_met/cma_0096_138359.jpg,138359,Wineglass and a Bowl of Fruit,"Willem Kalf (Dutch, 1619–1693)",1663,oil on canvas,European Painting and Sculpture,https://clevelandart.org/art/1962.292,https://openaccess-cdn.clevelandart.org/1962.292/1962.292_web.jpg,CC0 1.0 / Public Domain,Cleveland Museum of Art
cma_98268,artworks_met/cma_0097_98268.jpg,98268,George Washington at Princeton,"Charles Willson Peale (American, 1741–1827); Workshop",c. 1779,oil on canvas,American Painting and Sculpture,https://clevelandart.org/art/1917.946,https://openaccess-cdn.clevelandart.org/1917.946/1917.946_web.jpg,CC0 1.0 / Public Domain,Cleveland Museum of Art
