image_a,image_b,label,transformation,pair_type
artworks_met/cma_0069_94979.jpg,artworks_met/blur/cma_0069_94979_blur.jpg,plagiarized,blur,positive
artworks_met/cma_0069_94979.jpg,artworks_met/blur/cma_0070_102578_blur.jpg,not_plagiarized,blur,negative
artworks_met/cma_0070_102578.jpg,artworks_met/blur/cma_0070_102578_blur.jpg,plagiarized,blur,positive
artworks_met/cma_0070_102578.jpg,artworks_met/blur/cma_0071_92937_blur.jpg,not_plagiarized,blur,negative
artworks_met/cma_0071_92937.jpg,artworks_met/blur/cma_0071_92937_blur.jpg,plagiarized,blur,positive
artworks_met/cma_0071_92937.jpg,artworks_met/blur/cma_0072_151904_blur.jpg,not_plagiarized,blur,negative
artworks_met/cma_0072_151904.jpg,artworks_met/blur/cma_0072_151904_blur.jpg,plagiarized,blur,positive
artworks_met/cma_0072_151904.jpg,artworks_met/blur/cma_0073_110180_blur.jpg,not_plagiarized,blur,negative
artworks_met/cma_0073_110180.jpg,artworks_met/blur/cma_0073_110180_blur.jpg,plagiarized,blur,positive
artworks_met/cma_0073_110180.jpg,artworks_met/blur/cma_0074_137259_blur.jpg,not_plagiarized,blur,negative
artworks_met/cma_0074_137259.jpg,artworks_met/blur/cma_0074_137259_blur.jpg,plagiarized,blur,positive
artworks_met/cma_0074_137259.jpg,artworks_met/blur/cma_0075_141639_blur.jpg,not_plagiarized,blur,negative
artworks_met/cma_0075_141639.jpg,artworks_met/blur/cma_0075_141639_blur.jpg,plagiarized,blur,positive
artworks_met/cma_0075_141639.jpg,artworks_met/blur/cma_0076_149410_blur.jpg,not_plagiarized,blur,negative
artworks_met/cma_0076_149410.jpg,artworks_met/blur/cma_0076_149410_blur.jpg,plagiarized,blur,positive
artworks_met/cma_0076_149410.jpg,artworks_met/blur/cma_0077_149112_blur.jpg,not_plagiarized,blur,negative
artworks_met/cma_0077_149112.jpg,artworks_met/blur/cma_0077_149112_blur.jpg,plagiarized,blur,positive
artworks_met/cma_0077_149112.jpg,artworks_met/blur/cma_0078_125249_blur.jpg,not_plagiarized,blur,negative
artworks_met/cma_0078_125249.jpg,artworks_met/blur/cma_0078_125249_blur.jpg,plagiarized,blur,positive
artworks_met/cma_0078_125249.jpg,artworks_met/blur/cma_0079_135299_blur.jpg,not_plagiarized,blur,negative
artworks_met/cma_0079_135299.jpg,artworks_met/blur/cma_0079_135299_blur.jpg,plagiarized,blur,positive
artworks_met/cma_0079_135299.jpg,artworks_met/blur/cma_0080_93014_blur.jpg,not_plagiarized,blur,negative
artworks_met/cma_0080_93014.jpg,artworks_met/blur/cma_0080_93014_blur.jpg,plagiarized,blur,positive
artworks_met/cma_0080_93014.jpg,artworks_met/blur/cma_0081_135382_blur.jpg,not_plagiarized,blur,negative
artworks_met/cma_0081_135382.jpg,artworks_met/blur/cma_0081_135382_blur.jpg,plagiarized,blur,positive
artworks_met/cma_0081_135382.jpg,artworks_met/blur/cma_0082_128391_blur.jpg,not_plagiarized,blur,negative
artworks_met/cma_0082_128391.jpg,artworks_met/blur/cma_0082_128391_blur.jpg,plagiarized,blur,positive
artworks_met/cma_0082_128391.jpg,artworks_met/blur/cma_0083_140161_blur.jpg,not_plagiarized,blur,negative
artworks_met/cma_0083_140161.jpg,artworks_met/blur/cma_0083_140161_blur.jpg,plagiarized,blur,positive
artworks_met/cma_0083_140161.jpg,artworks_met/blur/cma_0084_125104_blur.jpg,not_plagiarized,blur,negative
artworks_met/cma_0084_125104.jpg,artworks_met/blur/cma_0084_125104_blur.jpg,plagiarized,blur,positive
artworks_met/cma_0084_125104.jpg,artworks_met/blur/cma_0085_138464_blur.jpg,not_plagiarized,blur,negative
artworks_met/cma_0085_138464.jpg,artworks_met/blur/cma_0085_138464_blur.jpg,plagiarized,blur,positive
artworks_met/cma_0085_138464.jpg,artworks_met/blur/cma_0086_127571_blur.jpg,not_plagiarized,blur,negative
artworks_met/cma_0086_127571.jpg,artworks_met/blur/cma_0086_127571_blur.jpg,plagiarized,blur,positive
artworks_met/cma_0086_127571.jpg,artworks_met/blur/cma_0087_109245_blur.jpg,not_plagiarized,blur,negative
artworks_met/cma_0087_109245.jpg,artworks_met/blur/cma_0087_109245_blur.jpg,plagiarized,blur,positive
artworks_met/cma_0087_109245.jpg,artworks_met/blur/cma_0088_122349_blur.jpg,not_plagiarized,blur,negative
artworks_met/cma_0088_122349.jpg,artworks_met/blur/cma_0088_122349_blur.jpg,plagiarized,blur,positive
artworks_met/cma_0088_122349.jpg,artworks_met/blur/cma_0089_160885_blur.jpg,not_plagiarized,blur,negative
artworks_met/cma_0089_160885.jpg,artworks_met/blur/cma_0089_160885_blur.jpg,plagiarized,blur,positive
artworks_met/cma_0089_160885.jpg,artworks_met/blur/cma_0090_140408_blur.jpg,not_plagiarized,blur,negative
artworks_met/cma_0090_140408.jpg,artworks_met/blur/cma_0090_140408_blur.jpg,plagiarized,blur,positive
artworks_met/cma_0090_140408.jpg,artworks_met/blur/cma_0091_117032_blur.jpg,not_plagiarized,blur,negative
artworks_met/cma_0091_117032.jpg,artworks_met/blur/cma_0091_117032_blur.jpg,plagiarized,blur,positive
artworks_met/cma_0091_117032.jpg,artworks_met/blur/cma_0092_135428_blur.jpg,not_plagiarized,blur,negative
artworks_met/cma_0092_135428.jpg,artworks_met/blur/cma_0092_135428_blur.jpg,plagiarized,blur,positive
