source_file,modified_file,transformation,parameters,width,height,label
artworks_met/cma_0069_94979.jpg,artworks_met/blur/cma_0069_94979_blur.jpg,blur,gaussian_radius=3.0,748,893,plagiarized
artworks_met/cma_0069_94979.jpg,artworks_met/brightness/cma_0069_94979_brightness.jpg,brightness,factor=1.35,748,893,plagiarized
artworks_met/cma_0069_94979.jpg,artworks_met/compress/cma_0069_94979_compress.jpg,compress,jpeg_quality=40;dimensions_unchanged=true,748,893,plagiarized
artworks_met/cma_0069_94979.jpg,artworks_met/contrast/cma_0069_94979_contrast.jpg,contrast,factor=1.40,748,893,plagiarized
artworks_met/cma_0069_94979.jpg,artworks_met/crop/cma_0069_94979_crop.jpg,crop,center_crop=85%;resize_to_original=true,748,893,plagiarized
artworks_met/cma_0069_94979.jpg,artworks_met/resize/cma_0069_94979_resize.jpg,resize,scale=50%;output_size=374x446;quality=92,748,893,plagiarized
artworks_met/cma_0069_94979.jpg,artworks_met/rotate/cma_0069_94979_rotate.jpg,rotate,angle=10;expand=false,748,893,plagiarized
artworks_met/cma_0069_94979.jpg,artworks_met/watermark/cma_0069_94979_watermark.jpg,watermark,text=EVALUATION COPY;position=center;angle=15;width=68%;high_visibility=true,748,893,plagiarized
artworks_met/cma_0070_102578.jpg,artworks_met/blur/cma_0070_102578_blur.jpg,blur,gaussian_radius=3.0,939,893,plagiarized
artworks_met/cma_0070_102578.jpg,artworks_met/brightness/cma_0070_102578_brightness.jpg,brightness,factor=1.35,939,893,plagiarized
artworks_met/cma_0070_102578.jpg,artworks_met/compress/cma_0070_102578_compress.jpg,compress,jpeg_quality=40;dimensions_unchanged=true,939,893,plagiarized
artworks_met/cma_0070_102578.jpg,artworks_met/contrast/cma_0070_102578_contrast.jpg,contrast,factor=1.40,939,893,plagiarized
artworks_met/cma_0070_102578.jpg,artworks_met/crop/cma_0070_102578_crop.jpg,crop,center_crop=85%;resize_to_original=true,939,893,plagiarized
artworks_met/cma_0070_102578.jpg,artworks_met/resize/cma_0070_102578_resize.jpg,resize,scale=50%;output_size=470x446;quality=92,939,893,plagiarized
artworks_met/cma_0070_102578.jpg,artworks_met/rotate/cma_0070_102578_rotate.jpg,rotate,angle=10;expand=false,939,893,plagiarized
artworks_met/cma_0070_102578.jpg,artworks_met/watermark/cma_0070_102578_watermark.jpg,watermark,text=EVALUATION COPY;position=center;angle=15;width=68%;high_visibility=true,939,893,plagiarized
artworks_met/cma_0071_92937.jpg,artworks_met/blur/cma_0071_92937_blur.jpg,blur,gaussian_radius=3.0,1194,893,plagiarized
artworks_met/cma_0071_92937.jpg,artworks_met/brightness/cma_0071_92937_brightness.jpg,brightness,factor=1.35,1194,893,plagiarized
artworks_met/cma_0071_92937.jpg,artworks_met/compress/cma_0071_92937_compress.jpg,compress,jpeg_quality=40;dimensions_unchanged=true,1194,893,plagiarized
artworks_met/cma_0071_92937.jpg,artworks_met/contrast/cma_0071_92937_contrast.jpg,contrast,factor=1.40,1194,893,plagiarized
artworks_met/cma_0071_92937.jpg,artworks_met/crop/cma_0071_92937_crop.jpg,crop,center_crop=85%;resize_to_original=true,1194,893,plagiarized
artworks_met/cma_0071_92937.jpg,artworks_met/resize/cma_0071_92937_resize.jpg,resize,scale=50%;output_size=597x446;quality=92,1194,893,plagiarized
